X,Y,Mag
4883399.93,652750.27,55098.1701
4883399.92,652750.16,55098.1926
4883399.91,652750.07,55098.1762
4883399.88,652749.95,55098.1247
4883399.86,652749.85,55098.0978
4883399.84,652749.75,55098.0995
4883399.82,652749.64,55098.118
4883399.8,652749.53,55098.1383
4883399.77,652749.44,55098.1309
4883399.75,652749.34,55098.1483
4883399.72,652749.25,55098.1779
4883399.7,652749.14,55098.0431
4883399.67,652749.05,55097.8188
4883399.65,652748.95,55097.7991
4883399.61,652748.86,55097.9392
4883399.59,652748.76,55098.027
4883399.56,652748.66,55098.0402
4883399.54,652748.56,55097.9663
4883399.51,652748.47,55097.8106
4883399.49,652748.36,55097.7185
4883399.47,652748.27,55097.7597
4883399.44,652748.16,55097.7897
4883399.43,652748.07,55097.7126
4883399.41,652747.97,55097.6699
4883399.4,652747.88,55097.7191
4883399.4,652747.78,55097.6857
4883399.39,652747.68,55097.5584
4883399.37,652747.57,55097.5027
4883399.36,652747.47,55097.4863
4883399.34,652747.37,55097.4215
4883399.33,652747.26,55097.3459
4883399.31,652747.16,55097.2151
4883399.29,652747.06,55097.0482
4883399.27,652746.96,55096.9976
4883399.24,652746.85,55096.9708
4883399.22,652746.75,55096.8173
4883399.19,652746.65,55096.6679
4883399.18,652746.55,55096.5938
4883399.16,652746.45,55096.4525
4883399.13,652746.35,55096.2093
4883399.1,652746.24,55095.9685
4883399.07,652746.14,55095.7644
4883399.04,652746.03,55095.5309
4883399.01,652745.93,55095.2186
4883398.98,652745.83,55094.8668
4883398.95,652745.72,55094.5184
4883398.92,652745.62,55094.1572
4883398.89,652745.52,55093.7859
4883398.87,652745.42,55093.4372
4883398.84,652745.32,55093.0846
4883398.82,652745.24,55092.6858
4883398.79,652745.13,55092.3018
4883398.78,652745.05,55091.952
4883398.77,652744.94,55091.5674
4883398.74,652744.85,55091.2363
4883398.74,652744.75,55091.0329
4883398.73,652744.65,55090.8184
4883398.71,652744.54,55090.6222
4883398.7,652744.44,55090.624
4883398.69,652744.34,55090.6997
4883398.67,652744.24,55090.6478
4883398.66,652744.14,55090.6066
4883398.65,652744.03,55090.8194
4883398.63,652743.93,55091.2775
4883398.62,652743.82,55091.7571
4883398.59,652743.71,55092.0918
4883398.58,652743.6,55092.3498
4883398.55,652743.5,55092.6656
4883398.54,652743.39,55093.0147
4883398.53,652743.29,55093.3405
4883398.5,652743.18,55093.7148
4883398.48,652743.07,55094.1738
4883398.46,652742.97,55094.5877
4883398.44,652742.88,55094.849
4883398.42,652742.76,55095.0346
4883398.4,652742.67,55095.2544
4883398.38,652742.56,55095.4758
4883398.36,652742.46,55095.6622
4883398.35,652742.36,55095.8827
4883398.34,652742.25,55096.1131
4883398.32,652742.15,55096.2755
4883398.31,652742.05,55096.4302
4883398.3,652741.94,55096.5781
4883398.27,652741.84,55096.6523
4883398.26,652741.73,55096.7283
4883398.24,652741.62,55096.8383
4883397.12,652741.71,55096.6923
4883397.15,652741.83,55096.5443
4883397.16,652741.94,55096.4422
4883397.19,652742.06,55096.3346
4883397.22,652742.17,55096.2015
4883397.25,652742.29,55096.0838
4883397.27,652742.4,55095.9913
4883397.3,652742.51,55095.9126
4883397.32,652742.61,55095.8206
4883397.36,652742.72,55095.6922
4883397.38,652742.84,55095.5631
4883397.42,652742.94,55095.4619
4883397.44,652743.04,55095.3708
4883397.47,652743.15,55095.3198
4883397.49,652743.26,55095.31
4883397.52,652743.36,55095.2784
4883397.54,652743.46,55095.2931
4883397.57,652743.57,55095.481
4883397.59,652743.67,55095.8711
4883397.61,652743.78,55096.4738
4883397.63,652743.88,55097.2319
4883397.65,652743.97,55098.043
4883397.68,652744.08,55099.0243
4883397.7,652744.18,55100.3273
4883397.72,652744.28,55101.7252
4883397.74,652744.38,55102.769
4883397.77,652744.48,55103.2088
4883397.78,652744.57,55103.0909
4883397.8,652744.67,55102.4262
4883397.83,652744.77,55101.1193
4883397.85,652744.87,55099.3317
4883397.87,652744.96,55097.3231
4883397.9,652745.06,55095.3138
4883397.93,652745.16,55093.7384
4883397.94,652745.26,55092.7791
4883397.96,652745.36,55092.125
4883397.99,652745.46,55091.6056
4883398.01,652745.56,55091.3213
4883398.04,652745.66,55091.3604
4883398.05,652745.76,55091.6863
4883398.08,652745.86,55092.1022
4883398.1,652745.95,55092.4624
4883398.13,652746.05,55092.8338
4883398.15,652746.13,55093.2867
4883398.17,652746.24,55093.7569
4883398.2,652746.33,55094.1883
4883398.23,652746.41,55094.5658
4883398.26,652746.51,55094.8795
4883398.28,652746.6,55095.1812
4883398.31,652746.68,55095.4538
4883398.34,652746.77,55095.621
4883398.37,652746.87,55095.8217
4883398.39,652746.95,55096.1818
4883398.41,652747.03,55096.5138
4883398.44,652747.12,55096.6626
4883398.46,652747.21,55096.7408
4883398.48,652747.3,55096.8442
4883398.5,652747.39,55096.9273
4883398.51,652747.48,55097.0329
4883398.54,652747.57,55097.2447
4883398.57,652747.67,55097.4447
4883398.6,652747.77,55097.4935
4883398.62,652747.86,55097.462
